元号(漢字),元号(ひらがな),開始日,終了日
大化,たいか,ユリウス暦645年7月29日,ユリウス暦650年3月22日
白雉,はくち、びゃくち、しらきぎす,ユリウス暦650年3月22日,ユリウス暦655年2月11日
朱鳥,しゅちょう、すちょう、あかみとり,ユリウス暦686年8月14日,ユリウス暦687年2月17日
大宝,たいほう、だいほう,ユリウス暦701年5月3日,ユリウス暦704年6月16日
慶雲,けいうん、きょううん,ユリウス暦704年6月16日,ユリウス暦708年2月7日
和銅,わどう,ユリウス暦708年2月7日,ユリウス暦715年10月3日
霊亀,れいき,ユリウス暦715年10月3日,ユリウス暦717年12月24日
養老,ようろう,ユリウス暦717年12月24日,ユリウス暦724年3月3日
神亀,じんき,ユリウス暦724年3月3日,ユリウス暦729年9月2日
天平,てんぴょう,ユリウス暦729年9月2日,ユリウス暦749年5月4日
天平感宝,てんぴょうかんぽう,ユリウス暦749年5月4日,ユリウス暦749年8月19日
天平勝宝,てんぴょうしょうほう,ユリウス暦749年8月19日,ユリウス暦757年9月6日
天平宝字,てんぴょうほうじ,ユリウス暦757年9月6日,ユリウス暦765年2月1日
天平神護,てんぴょうじんご,ユリウス暦765年2月1日,ユリウス暦767年9月13日
神護景雲,じんごけいうん,ユリウス暦767年9月13日,ユリウス暦770年10月23日
宝亀,ほうき,ユリウス暦770年10月23日,ユリウス暦781年1月30日
天応,てんおう、てんのう,ユリウス暦781年1月30日,ユリウス暦782年9月30日
延暦,えんりゃく,ユリウス暦782年9月30日,ユリウス暦806年6月8日
大同,だいどう,ユリウス暦806年6月8日,ユリウス暦810年10月20日
弘仁,こうにん,ユリウス暦810年10月20日,ユリウス暦824年2月8日
天長,てんちょう,ユリウス暦824年2月8日,ユリウス暦834年2月14日
承和,じょうわ、しょうわ,ユリウス暦834年2月14日,ユリウス暦848年7月16日
嘉祥,かしょう、かじょう,ユリウス暦848年7月16日,ユリウス暦851年6月1日
仁寿,にんじゅ,ユリウス暦851年6月1日,ユリウス暦854年12月23日
斉衡,さいこう,ユリウス暦854年12月23日,ユリウス暦857年3月20日
天安,てんあん、てんなん,ユリウス暦857年3月20日,ユリウス暦859年5月20日
貞観,じょうがん,ユリウス暦859年5月20日,ユリウス暦877年6月1日
元慶,がんぎょう,ユリウス暦877年6月1日,ユリウス暦885年3月11日
仁和,にんな、にんわ,ユリウス暦885年3月11日,ユリウス暦889年5月30日
寛平,かんぴょう、かんぺい、かんへい,ユリウス暦889年5月30日,ユリウス暦898年5月20日
昌泰,しょうたい,ユリウス暦898年5月20日,ユリウス暦901年8月31日
延喜,えんぎ,ユリウス暦901年8月31日,ユリウス暦923年5月29日
延長,えんちょう,ユリウス暦923年5月29日,ユリウス暦931年5月16日
承平,じょうへい、しょうへい,ユリウス暦931年5月16日,ユリウス暦938年6月22日
天慶,てんぎょう、てんきょう,ユリウス暦938年6月22日,ユリウス暦947年5月15日
天暦,てんりゃく,ユリウス暦947年5月15日,ユリウス暦957年11月21日
天徳,てんとく,ユリウス暦957年11月21日,ユリウス暦961年3月5日
応和,おうわ,ユリウス暦961年3月5日,ユリウス暦964年8月19日
康保,こうほう,ユリウス暦964年8月19日,ユリウス暦968年9月8日
安和,あんな、あんわ,ユリウス暦968年9月8日,ユリウス暦970年5月3日
天禄,てんろく,ユリウス暦970年5月3日,ユリウス暦974年1月16日
天延,てんえん,ユリウス暦974年1月16日,ユリウス暦976年8月11日
貞元,じょうげん,ユリウス暦976年8月11日,ユリウス暦978年12月31日
天元,てんげん,ユリウス暦978年12月31日,ユリウス暦983年5月29日
永観,えいかん,ユリウス暦983年5月29日,ユリウス暦985年5月19日
寛和,かんな、かんわ,ユリウス暦985年5月19日,ユリウス暦987年5月5日
永延,えいえん,ユリウス暦987年5月5日,ユリウス暦989年9月10日
永祚,えいそ,ユリウス暦989年9月10日,ユリウス暦990年11月26日
正暦,しょうりゃく,ユリウス暦990年11月26日,ユリウス暦995年3月25日
長徳,ちょうとく,ユリウス暦995年3月25日,ユリウス暦999年2月1日
長保,ちょうほう,ユリウス暦999年2月1日,ユリウス暦1004年8月8日
寛弘,かんこう,ユリウス暦1004年8月8日,ユリウス暦1013年2月8日
長和,ちょうわ,ユリウス暦1013年2月8日,ユリウス暦1017年5月21日
寛仁,かんにん,ユリウス暦1017年5月21日,ユリウス暦1021年3月17日
治安,じあん,ユリウス暦1021年3月17日,ユリウス暦1024年8月19日
万寿,まんじゅ,ユリウス暦1024年8月19日,ユリウス暦1028年8月18日
長元,ちょうげん,ユリウス暦1028年8月18日,ユリウス暦1037年5月9日
長暦,ちょうりゃく,ユリウス暦1037年5月9日,ユリウス暦1040年12月16日
長久,ちょうきゅう,ユリウス暦1040年12月16日,ユリウス暦1044年12月16日
寛徳,かんとく,ユリウス暦1044年12月16日,ユリウス暦1046年5月22日
永承,えいしょう、えいじょう,ユリウス暦1046年5月22日,ユリウス暦1053年2月2日
天喜,てんぎ、てんき,ユリウス暦1053年2月2日,ユリウス暦1058年9月19日
康平,こうへい,ユリウス暦1058年9月19日,ユリウス暦1065年9月4日
治暦,じりゃく,ユリウス暦1065年9月4日,ユリウス暦1069年5月6日
延久,えんきゅう,ユリウス暦1069年5月6日,ユリウス暦1074年9月16日
